0.001 3.000
0.097 2.694
0.191 2.357
0.283 2.015
0.360 1.732
0.401 1.579
0.455 1.408
0.520 1.205
0.604 0.963
0.700 0.729
0.796 0.472
0.881 0.288
1.000 0.000
